line	FT	PH	GY	seqname
MG791	62.9784808529478	258.672658214997	229.974205143628	MG791-x-MG1522
MG1181	61.8643314453465	265.039741718342	247.881036651641	MG1181-x-MG1522
MG1086	62.1826598475183	259.242578976136	237.102737889581	MG1086-x-MG1522
MG378	59.6360326301441	270.801284412976	222.118925431071	MG378-x-MG1522
MG1407	61.3868388420888	262.127802829399	223.494935312692	MG1407-x-MG1522
MG458	62.1826598475183	255.13736849356	233.073567207086	MG458-x-MG1522
MG56	62.9784808529478	271.602735483328	238.863496165287	MG56-x-MG1522
MG281	61.7051672442606	258.022592346823	229.499949310642	MG281-x-MG1522
MG595	63.1376450540336	254.496207637279	217.376367101211	MG595-x-MG1522
MG370	62.1826598475183	273.544028075956	242.331575439743	MG370-x-MG1522
MG676	61.8643314453465	272.876152183996	237.236331081972	MG676-x-MG1522
MG533	61.8643314453465	253.107025782004	224.579712034903	MG533-x-MG1522
MG177	63.7743018583772	273.036442398067	212.480176600102	MG177-x-MG1522
MG199	63.1376450540336	276.224436655685	223.802199655191	MG199-x-MG1522
MG1039	65.3659438692361	272.804912088854	220.956664657274	MG1039-x-MG1522
MG248	61.227674641003	266.517973692545	214.961670148754	MG248-x-MG1522
MG740	62.3418240486042	256.562170396406	229.145927350808	MG740-x-MG1522
MG435	62.1826598475183	260.418040545984	232.3254453297	MG435-x-MG1522
MG1240	63.6151376572913	268.085255785676	228.819959961375	MG1240-x-MG1522
MG1017	61.8643314453465	272.395281541786	230.604765011711	MG1017-x-MG1522
MG712	61.3868388420888	272.297326410965	223.762121697473	MG712-x-MG1522
MG220	62.3418240486042	274.51467437227	242.211341566591	MG220-x-MG1522
MG522	62.5009882496901	267.479714976966	221.504396746075	MG522-x-MG1522
MG115	58.9993758258005	243.819098377824	195.978745476036	MG115-x-MG1522
MG1245	62.1826598475183	258.717183274461	237.088042638418	MG1245-x-MG1522
MG1106	63.4559734562054	244.148583817857	226.385891996021	MG1106-x-MG1522
MG1252	62.1826598475183	260.239940308128	220.684134544798	MG1252-x-MG1522
MG1200	61.5460030431747	269.242907331738	223.38806075878	MG1200-x-MG1522
MG1273	62.3418240486042	273.241257671601	259.636346956263	MG1273-x-MG1522
MG1304	62.1826598475183	278.842510152165	216.486636439891	MG1304-x-MG1522
MG464	60.5910178366594	274.853064824196	229.474566604088	MG464-x-MG1522
MG1432	61.227674641003	258.2986477155	209.249447901913	MG1432-x-MG1522
MG777	61.8643314453465	256.508740325049	215.775920656374	MG777-x-MG1522
MG156	62.1826598475183	267.577670107787	236.480193613042	MG156-x-MG1522
MG911	61.3868388420888	234.103730402791	208.791668558202	MG911-x-MG1522
MG489	62.660152450776	270.391653865908	212.572355902851	MG489-x-MG1522
MG1096	61.8643314453465	280.489937352332	252.591532615328	MG1096-x-MG1522
MG146	60.1135252334017	262.181232900756	219.089031827656	MG146-x-MG1522
MG664	62.660152450776	266.633738847151	221.293319502098	MG664-x-MG1522
